elr,total_yards,mileage,easting,northing,longitude,latitude,os_grid_ref,linear_accuracy_m
GTW2,90640,51M 0880y,488493.6,154075.2,-0.73262,51.278957,SU8849354075,0
GTW2,90750,51M 0990y,488460.6,154170.1,-0.733069,51.279815,SU8846054170,0
GTW2,90860,51M 1100y,488427.6,154265.0,-0.733519,51.280673,SU8842754264,0
GTW2,90970,51M 1210y,488394.6,154359.9,-0.733968,51.281531,SU8839454359,0
GTW2,91080,51M 1320y,488361.6,154454.7,-0.734417,51.282389,SU8836154454,0
GTW2,91190,51M 1430y,488328.5,154549.9,-0.734868,51.28325,SU8832854549,0
GTW2,91300,51M 1540y,488295.5,154645.1,-0.735319,51.284111,SU8829554645,0
GTW2,91410,51M 1650y,488262.4,154740.3,-0.73577,51.284972,SU8826254740,0
GTW2,91520,52M 0000y,488229.3,154835.5,-0.736221,51.285833,SU8822954835,0
GTW2,91630,52M 0110y,488196.2,154930.6,-0.736672,51.286693,SU8819654930,0
GTW2,91740,52M 0220y,488163.1,155025.8,-0.737123,51.287554,SU8816355025,0
GTW2,91850,52M 0330y,488130.0,155121.0,-0.737573,51.288414,SU8813055120,0
GTW2,91960,52M 0440y,488096.9,155216.1,-0.738024,51.289275,SU8809655216,0
GTW2,92070,52M 0550y,488063.9,155311.3,-0.738475,51.290135,SU8806355311,0
GTW2,92180,52M 0660y,488030.8,155406.4,-0.738926,51.290996,SU8803055406,0
GTW2,92290,52M 0770y,487998.0,155501.6,-0.739372,51.291857,SU8799855501,0
GTW2,92400,52M 0880y,487970.2,155598.4,-0.739747,51.292731,SU8797055598,0
GTW2,92510,52M 0990y,487949.6,155696.9,-0.740018,51.29362,SU8794955696,0
GTW2,92620,52M 1100y,487932.9,155796.3,-0.740234,51.294516,SU8793255796,0
GTW2,92730,52M 1210y,487916.1,155895.6,-0.74045,51.295411,SU8791655895,0
GTW2,92840,52M 1320y,487899.4,155994.9,-0.740665,51.296307,SU8789955994,0
GTW2,92950,52M 1430y,487882.6,156094.2,-0.740881,51.297202,SU8788256094,0
GTW2,93060,52M 1540y,487865.9,156193.5,-0.741097,51.298097,SU8786556193,0
GTW2,93170,52M 1650y,487846.2,156292.2,-0.741355,51.298988,SU8784656292,0
GTW2,93280,53M 0000y,487820.1,156389.4,-0.741704,51.299866,SU8782056389,0
GTW2,93390,53M 0110y,487788.8,156485.1,-0.742129,51.30073,SU8778856485,0
GTW2,93500,53M 0220y,487754.9,156579.8,-0.742593,51.301587,SU8775456579,0
GTW2,93610,53M 0330y,487720.9,156674.5,-0.743057,51.302444,SU8772056674,0
GTW2,93720,53M 0440y,487687.0,156769.3,-0.743521,51.303301,SU8768656769,0
GTW2,93830,53M 0550y,487653.0,156864.0,-0.743985,51.304158,SU8765356864,0
GTW2,93940,53M 0660y,487618.3,156958.5,-0.74446,51.305012,SU8761856958,0
GTW2,94050,53M 0770y,487578.8,157051.1,-0.745004,51.30585,SU8757857051,0
GTW2,94160,53M 0880y,487533.3,157140.9,-0.745633,51.306665,SU8753357140,0
GTW2,94270,53M 0990y,487481.9,157227.4,-0.746349,51.30745,SU8748157227,0
GTW2,94380,53M 1100y,487424.8,157310.1,-0.747148,51.308203,SU8742457310,0
GTW2,94490,53M 1210y,487362.9,157389.5,-0.748016,51.308926,SU8736257389,0
GTW2,94600,53M 1320y,487296.7,157465.2,-0.748948,51.309616,SU8729657465,0
GTW2,94710,53M 1430y,487225.5,157536.2,-0.749952,51.310266,SU8722557536,0
GTW2,94820,53M 1540y,487149.5,157602.2,-0.751025,51.310871,SU8714957602,0
GTW2,94930,53M 1650y,487069.9,157663.6,-0.752153,51.311435,SU8706957663,0
